0,0,0,0,0
1,28.0,-94.8,Unspecified,Ocean
2,28.0,-95.4,Unspecified,Ocean
3,28.0,-96.0,Unspecified,Ocean
4,28.1,-96.5,Unspecified,Ocean
5,28.2,-96.8,Aransas County,Texas
6,28.2,-97.0,Aransas County,Texas
7,28.3,-97.6,Bee County,Texas
8,28.4,-98.3,Live Oak County,Texas
9,28.6,-98.9,La Salle County,Texas
10,29.0,-99.4,Frio County,Texas
11,29.5,-99.8,Uvalde County,Texas
12,30.0,-00.0,Unspecified,Adrar
13,30.5,-00.1,Unspecified,Béchar
14,31.0,-00.2,Unspecified,Béchar
16,22.2,-97.6,Unspecified,Ocean
18,12.0,-60.0,Unspecified,Ocean
20,13.4,-48.0,Unspecified,Ocean
21,13.7,-49.5,Unspecified,Ocean
22,14.0,-51.0,Unspecified,Ocean
23,14.4,-52.8,Unspecified,Ocean
24,14.9,-54.6,Unspecified,Ocean
25,15.4,-56.5,Unspecified,Ocean
26,15.9,-58.5,Unspecified,Ocean
27,16.1,-60.4,Unspecified,Ocean
28,16.6,-62.5,Unspecified,Ocean
29,16.9,-64.1,Unspecified,Ocean
30,17.2,-66.0,Unspecified,Ocean
31,17.6,-67.6,Unspecified,Ocean
32,18.0,-69.3,Unspecified,Ocean
33,18.4,-71.1,Unspecified,Barahona
34,18.9,-72.6,Unspecified,Lwès
35,19.4,-74.3,Unspecified,Ocean
36,19.9,-75.9,Santiago de Cuba,Santiago de Cuba
37,20.5,-77.6,Unspecified,Ocean
38,21.2,-79.0,Unspecified,Ocean
39,21.9,-80.4,Cienfuegos,Cienfuegos
40,22.6,-81.4,Unión de Reyes,Matanzas
41,23.2,-82.5,Playa,La Habana
42,23.9,-83.6,Unspecified,Ocean
43,24.4,-84.3,Unspecified,Ocean
44,25.0,-84.9,Unspecified,Ocean
45,25.6,-85.5,Unspecified,Ocean
46,26.2,-86.0,Unspecified,Ocean
47,26.8,-86.3,Unspecified,Ocean
48,27.4,-86.5,Unspecified,Ocean
49,28.0,-86.6,Unspecified,Ocean
50,28.5,-86.6,Unspecified,Ocean
51,29.6,-86.1,Unspecified,Ocean
52,30.1,-85.7,Bay County,Florida
53,30.7,-85.1,Jackson County,Florida
54,31.6,-84.1,Dougherty County,Georgia
55,32.5,-83.0,Laurens County,Georgia
56,33.4,-81.4,Barnwell County,South Carolina
57,34.0,-80.0,Sumter County,South Carolina
58,34.8,-78.6,Bladen County,North Carolina
59,35.8,-77.0,Martin County,North Carolina
60,36.8,-75.1,Unspecified,Ocean
61,37.8,-73.6,Unspecified,Ocean
62,38.9,-71.8,Unspecified,Ocean
63,40.0,-70.0,Unspecified,Ocean
64,41.3,-66.8,Unspecified,Ocean
65,42.8,-63.3,Region of Queens,Nova Scotia
66,44.5,-60.2,Guysborough County,Nova Scotia
67,46.4,-57.2,Division No. 3,Newfoundland and Labrador
68,48.5,-54.2,Division No. 7,Newfoundland and Labrador
70,32.5,-73.5,Unspecified,Ocean
71,32.5,-73.5,Unspecified,Ocean
72,32.5,-73.5,Unspecified,Ocean
73,32.5,-73.5,Unspecified,Ocean
74,32.5,-73.5,Unspecified,Ocean
75,32.5,-73.5,Unspecified,Ocean
76,32.5,-73.5,Unspecified,Ocean
77,32.5,-73.5,Unspecified,Ocean
78,32.5,-73.5,Unspecified,Ocean
79,32.5,-73.5,Unspecified,Ocean
80,32.5,-73.5,Unspecified,Ocean
81,32.5,-73.5,Unspecified,Ocean
82,32.5,-73.5,Unspecified,Ocean
83,32.5,-73.5,Unspecified,Ocean
84,32.5,-73.5,Unspecified,Ocean
85,32.5,-73.5,Unspecified,Ocean
87,28.7,-78.0,Unspecified,Ocean
88,29.1,-77.8,Unspecified,Ocean
89,29.5,-77.5,Unspecified,Ocean
90,30.1,-77.1,Unspecified,Ocean
91,30.7,-76.6,Unspecified,Ocean
92,31.2,-76.3,Unspecified,Ocean
93,31.6,-75.9,Unspecified,Ocean
94,32.0,-75.5,Unspecified,Ocean
95,32.7,-74.9,Unspecified,Ocean
96,33.3,-74.3,Unspecified,Ocean
97,34.0,-73.8,Unspecified,Ocean
98,35.3,-73.0,Unspecified,Ocean
99,37.0,-72.6,Unspecified,Ocean
100,38.5,-72.1,Unspecified,Ocean
101,40.2,-71.8,Unspecified,Ocean
102,41.1,-71.7,Washington County,Rhode Island
103,42.0,-71.6,Providence County,Rhode Island
105,20.5,-67.1,Unspecified,Ocean
106,20.7,-68.0,Unspecified,Ocean
107,20.9,-68.8,Unspecified,Ocean
108,21.1,-69.6,Unspecified,Ocean
109,21.2,-70.6,Unspecified,Ocean
110,21.5,-71.9,Unspecified,Ocean
111,21.7,-73.0,Unspecified,Ocean
112,21.9,-74.0,Unspecified,Ocean
113,22.1,-74.9,Unspecified,Ocean
114,22.2,-76.1,Unspecified,Ocean
115,22.6,-77.1,Unspecified,Ocean
116,22.9,-78.1,Unspecified,Ocean
117,23.2,-79.3,Unspecified,Ocean
118,23.5,-80.1,Unspecified,Ocean
119,23.8,-81.1,Unspecified,Ocean
120,24.2,-82.1,Unspecified,Ocean
121,24.7,-83.1,Unspecified,Ocean
122,25.2,-83.9,Unspecified,Ocean
123,25.7,-84.6,Unspecified,Ocean
124,26.2,-85.3,Unspecified,Ocean
125,26.7,-86.0,Unspecified,Ocean
126,27.2,-86.6,Unspecified,Ocean
127,27.7,-87.1,Unspecified,Ocean
128,28.2,-87.5,Unspecified,Ocean
129,28.6,-87.8,Unspecified,Ocean
130,28.8,-88.0,Unspecified,Ocean
131,29.1,-88.2,Unspecified,Ocean
132,29.4,-88.4,Unspecified,Ocean
133,29.8,-88.6,Unspecified,Ocean
134,30.2,-88.6,Jackson County,Mississippi
135,30.6,-88.5,Jackson County,Mississippi
136,31.2,-88.1,Washington County,Alabama
137,31.8,-87.4,Monroe County,Alabama
138,32.3,-86.3,Montgomery County,Alabama
139,32.8,-84.8,Harris County,Georgia
140,33.2,-82.8,Washington County,Georgia
141,33.5,-80.5,Orangeburg County,South Carolina
142,33.8,-78.2,Unspecified,Ocean
143,34.0,-76.0,Unspecified,Ocean
144,34.4,-74.2,Unspecified,Ocean
145,35.2,-72.8,Unspecified,Ocean
146,36.4,-71.8,Unspecified,Ocean
147,38.0,-70.8,Unspecified,Ocean
148,39.6,-69.6,Unspecified,Ocean
149,41.0,-68.0,Unspecified,Ocean
151,17.0,-64.1,Unspecified,Ocean
152,17.4,-65.1,Unspecified,Ocean
153,17.7,-66.1,Unspecified,Ocean
154,18.2,-67.1,Unspecified,Mayagüez
155,18.6,-68.8,Unspecified,La Altagracia
156,19.2,-70.1,Unspecified,Duarte
157,19.5,-71.4,Unspecified,Santiago Rodríguez
158,19.7,-72.5,Unspecified,Nord
160,26.4,-90.4,Unspecified,Ocean
161,26.5,-89.6,Unspecified,Ocean
162,26.6,-88.8,Unspecified,Ocean
163,26.6,-88.1,Unspecified,Ocean
164,26.8,-87.4,Unspecified,Ocean
165,26.9,-86.6,Unspecified,Ocean
166,27.1,-86.1,Unspecified,Ocean
167,27.3,-85.6,Unspecified,Ocean
168,27.5,-85.1,Unspecified,Ocean
169,27.7,-84.6,Unspecified,Ocean
170,27.8,-84.0,Unspecified,Ocean
171,27.9,-83.4,Unspecified,Ocean
172,28.0,-82.8,Pinellas County,Florida
173,28.1,-82.2,Hillsborough County,Florida
174,28.2,-81.5,Osceola County,Florida
175,28.5,-80.5,Brevard County,Florida
176,29.2,-79.0,Unspecified,Ocean
177,30.4,-77.0,Unspecified,Ocean
178,32.0,-74.5,Unspecified,Ocean
179,34.0,-71.5,Unspecified,Ocean
181,16.1,-58.5,Unspecified,Ocean
182,16.4,-59.1,Unspecified,Ocean
183,16.7,-59.7,Unspecified,Ocean
184,17.0,-60.3,Unspecified,Ocean
185,17.4,-61.2,Unspecified,Ocean
186,17.7,-62.2,Unspecified,Ocean
187,18.1,-63.1,Unspecified,Collectivité de Saint-Martin
188,18.4,-63.7,Unspecified,Ocean
189,18.7,-64.3,Unspecified,Anegada
190,18.9,-65.0,Unspecified,Ocean
191,19.1,-65.8,Unspecified,Ocean
192,19.2,-66.6,Unspecified,Ocean
193,19.5,-67.4,Unspecified,Ocean
194,19.7,-68.1,Unspecified,Ocean
195,19.9,-68.8,Unspecified,Ocean
196,20.0,-69.6,Unspecified,Ocean
